date;peg_nord;trs;peg;ttf;zee;nbp;ncg;gaspool;psv
2019-04;;;15.113;15.183833333333329;37.72366666666666;35.49066666666667;15.88843333333333;15.611933333333331;18.691666666666666
2019-07;;;10.869612903225807;10.95216129032258;28.195161290322584;29.709999999999994;11.185193548387092;10.878935483870968;12.506129032258064
2020-04;;;6.470033333333332;6.567099999999998;18.24333333333334;14.008;7.1030999999999995;7.007466666666668;8.713333333333333
2020-06;;;4.953900000000001;4.955033333333334;12.572666666666665;13.07333333333333;4.955866666666666;5.045266666666666;5.8676666666666675
2020-10;;;13.648709677419353;13.832709677419356;36.307580645161295;38.45967741935484;13.54335483870968;14.031870967741932;13.242903225806455
2020-11;;;13.563800000000006;13.668066666666666;35.78516666666667;36.77416666666667;13.453133333333334;13.762966666666665;13.835833333333335
2021-02;;;17.370678571428574;17.420571428571428;44.83339285714286;46.19464285714286;17.554142857142857;17.678607142857143;17.84071428571428
2021-05;;;24.637999999999998;25.07909677419355;62.50161290322582;65.44516129032259;25.12464516129033;25.082096774193555;25.06500000000001
2021-11;;;79.85673333333334;80.34026666666666;197.86833333333334;196.87666666666667;80.67723333333332;80.67723333333332;80.29983333333332
2022-03;;;123.56912903225808;126.58300000000001;337.48387096774195;303.60483870967744;126.9838387096774;126.9838387096774;125.84032258064516
2022-06;;;93.26826666666668;100.75450000000001;228.3;128.0;100.65896666666667;100.65896666666667;102.865
2010-01;14.238064516129034;14.31516129032258;;14.29996774193548;;;14.30806451612903;;
2010-10;18.85354838709677;19.127096774193543;;18.74490322580645;;;18.57129032258064;18.74741935483871;
2011-07;21.601290322580645;21.68548387096774;;21.579193548387103;;;21.810645161290317;21.609354838709685;
2011-11;23.999999999999996;24.479999999999997;;23.764666666666667;;;24.291666666666668;24.16066666666666;
2013-01;27.459999999999994;27.998064516129034;;26.55999999999999;65.08741935483872;66.0758064516129;26.989032258064512;27.04064516129033;26.969354838709677
2013-10;26.547741935483877;28.200000000000003;;25.689354838709683;64.27258064516128;64.95161290322581;26.414677419354845;26.40509677419355;27.67322580645162
2014-03;22.854838709677423;26.155161290322585;;22.515483870967746;55.40322580645161;56.820967741935476;23.039354838709674;22.89693548387097;24.0858064516129
2014-04;21.125000000000004;23.28066666666666;;20.22766666666667;49.43933333333332;50.16433333333334;20.8952;20.83203333333334;22.581333333333337
2014-07;17.204516129032257;21.75838709677419;;16.399032258064516;37.906451612903226;37.68000000000001;16.659612903225806;16.491290322580642;20.72258064516129
